id,question,answer1,answer2,explanation,level
1,¿Es cierto que en el espacio no hay gravedad?,"No, es falso, en el espacio sí hay gravedad.","Sí, es cierto, en el espacio no hay gravedad.","¿Cuerpos flotando? No hay duda, en el espacio no hay gravedad ¿Cierto? ¡Error! 

La famosa Ley de la Gravitación Universal de sir Isaac Newton dice: 

""Dos masas cualesquiera (m1, m2) se atraen con una fuerza proporcional (F) al producto de sus masas e inversamente proporcional al cuadrado de las distancias (r) que las separan."" 

La fuerza gravitatoria se hace nula solo cuando la distancia entre dichas masas es infinita. No obstante el concepto de infinito es problemático cuando se traslada a la realidad, pues nunca seremos capaces de separar dos masas infinitamente, luego la fuerza gravitatoria nunca será 0. Se concluye así que el alcance de la gravedad es ilimitado, llega a todas partes; eso sí con una intensidad que varía según el cuadrado de la distancia. Como curiosidad: la gravedad a 400 Km de la superficie terrestre (donde se encuentra la ISS) es de tan solo un 10% menor que la que experimentamos habitualmente.",Medio
2,¿Qué satelite natural orbita arededor de la tierra?,La luna,El sol,"La luna ya que es el unico satelite natural de la tierea , y gira alrededor de su eje (rotación) en aproximadamente 27.32dias .
",Fácil
3,¿Qué país lanzó el Sputnik?,Unión Soviética,Estados Unidos,"La nave Sputnik 1 fue el primer intento no fallido de poner en órbita un satélite artificial alrededor de la Tierra. Se lanzó desde el Cosmódromo de Baikonur en Tyuratam, en Kazajistán, antes parte de la Unión Soviética",Fácil
4,¿Cómo se llamaba el primer animal que fue al espacio?,Laika.,Tota.,"Laika (en ruso Лайка, ‘ladradora’; Moscú, 1954 - Sputnik 2, Órbita baja terrestre, 3 de noviembre de 1957) fue una perra espacial soviética que se convirtió en el primer ser vivo terrestre en orbitar la Tierra. Lo hizo a bordo de la nave soviética Sputnik 2, el 3 de noviembre de 1957. Fuente Wikipedia.",Fácil
5,¿Plutón se considera un planeta?,No,Si,"Debido a su tamaño, pero continúa integrando en el Sistema Solar como planeta enano.",Fácil
6,¿En qué puesto está situado Neptuno en el Sistema Solar? ,En el octavo puesto.,En el quinto puesto.,Neptuno es el octavo planeta en distancia respecto al Sol y el más lejano del sistema solar.,Fácil
7,¿En qué puesto está situado Urano del Sistema Solar?,Séptimo puesto.,Décimo puesto.,"Urano es el séptimo planeta del Sistema Solar, el tercero en cuanto a mayor tamaño, de mayor a menor, y el cuarto más masivo. ",Fácil
8,¿Cuál es el planeta más grande que se conoce?,Jupiter,La luna,"El planeta mas grande que conocemos es júpiter, es un planeta 1400 veces mas grandes que la tierra , es trece veces mas grandes que todos los planetas del sistema solar junto.Si fuera mas grande se convertiría en una estrella incandescente como el sol.",Medio
9,¿Por qué un satélite no se cae sobre su planeta?,Porque tienen un punto de equilibrio.,Porque hay una línea invisible que lo sujeta.,"Se equilibran las fuerzas centrífuga, la que tiende a alejar a un cuerpo del centro de rotación, y fuerza centrípeta, la que tiende a arrastrarlo hacia el centro.",Medio.
10,¿Quién fue el primero en descubrir Urano?,Sir William Herschel,Vicente Gaos,"Sir William Herschel fue el primero en descubrir Urano, el 13 de marzo de 1781. Sin embargo, él pensó que se trataba de un nuevo cometa.",Alto
11,¿Cuándo se descubrió Neptuno?,23 de septiembre de 1846.,17 de octubre de 1845.,Porque lo descubrieron por cálculos matemáticos.,Medio
12,¿Cómo se denomina la trayectoria que hace un satélite alrededor de un planeta?,Órbita.,Asteroide.,La trayectoria que sigue un satélite alrededor de un planeta se denomina órbita,Fácil
13,¿Gira el Sol?,"Sí, el Sol gira, o rota.","No, el Sol nunca gira.","Como es un gas, no rota como un sólido. El Sol gira más rápido en su ecuador que en sus polos. Rota una vez cada 27 días en su ecuador, pero sólo una vez cada 31 días en sus polos. ",Medio
14,¿Qué planeta tiene las mismas similitudes a la tierra? ,Kepler-452b,Saturno,Se trata de Kepler-452b y es el primer planeta con un tamaño similar a la Tierra -sólo 60% más grande- y está ubicado en una zona habitable de una estrella muy similar a nuestro Sol.Este tiene el potencial de tener agua en estado liquido.,Alto
15,¿Cuál es el planeta con mayor masa del Sistema Solar?,Júpiter ,Saturno,"Porque Júpiter equivale a unas 2,48 veces la suma de todos los demás  planetas juntos",Fácil
16,¿Cómo se llama el punto más lejano y el punto más cercano a una Órbita?,El más lejano apogeo y el más cercano perigeo,El más lejano el sol y el más cercano la luna,"El punto más lejano de una órbita de forma elíptica se denomina apogeo,mientras que el punto más cercano se denomina perigeo",Medio
17,¿Quién creó el primer satélite artificial?,Estados Unidos., Eisenhower ,El 4 de octubre de 1957 Estados Unidos lanza su primer satelite artificial.,Fácil
18,¿Cuándo se descubrió Urano?,13 de marzo de 1781.,25 de noviembre de 1836.,Se descubrió Urano mientras se investigaba sobre las estrellas en el cielo nocturno.,Medio
19,¿Cuantos planetas hay en nuestro sistema solar?,7,2000,"Ellos son Marte , Mercurio , Júpiter, Venus , Saturno ,Urano y la tierra . Estos son los planetas del sistema solar ",Fácil
20,¿Cuántos fueron los descubridores de Neptuno?,3.,2.,xxxxxxxxxxxx,Fácil
21,¿Qué es la Gran Mancha Roja?,Un planeta con una enorme formación meteorológica, Un satélite con una enorme formación meterológica,Pues porque su tamaño supera al de la Tierra.,Alto
22,¿Pueden todos los planetas del sistema solar alinearse?,"Si, los planetas del sistema solar se alinean.","No, nunca se alinean, eso es mentira.","Los planetas no se alinean, muchos de ellos suelen estar en la misma región en algunos momentos específicos. La próxima configuración planetaria será en 2040 cuando Saturno, Venus, Júpiter y Marte lo hagan, pero como vemos, no todos los planetas participan de esto. Esto curre cada 200 años.",Alto
23,¿Qué año fue el primer lanzamiento de un Satélite de España con la ayuda de la N.A.S.A?,1974,2002,"España,en el año 1974 y se llamaba Intasat",Alto
24,¿Qué función tiene un satélite artificial?,Sirven para realizar telecomunicaciones.,Sirve para ver la Luna.,También sirve para investigar el espacio exterior.,Medio
25,¿El sol es un planeta?,"No , es una estrella ",Es un asteroide,El sol es una estrella del tipo espectral G2 que se encuentra en el centro del sistema solar y constituye la mayor fuente de radiación electromagnética de este sistema planetario.,Fácil
26,¿Cuántos anillos tiene Neptuno?,Consta de cinco anillos.,Consta de ocho anillos.,El sistema consta de cinco anillos que reciben el nombre de los astrónomos más relevantes en la investigación de Neptuno.,Medio
27,¿Qué edad tiene la Tierra?,Entre 4.5 y 4.8 billones de años,"Entre 7,3 y 8 billones de años.",Se piensa que la Tierra tiene entre 4.5 y 4.8 billones de años de edad.,Medio
28,¿Qué es un satélite?,Un cuerpo que se encuentra en órbita.,Un cuerpo que está al lado de un planeta.,"Se denomina satélite natural a todo cuerpo que se encuentra en órbita en torno a un planeta de mayor masa, el cual ejerce sobre el satélite una atracción gravitacional. 
",Fácil
29,¿Qué nombres poseen los anillos de Neptuno?,"Galle, Le Verrier, Lassell, Arago y Adams.","Titania, Umbriel, Miranda, Ariel, Puck.","Del más interior al más exterior son: Galle, Le Verrier, Lassell, Arago y Adams.",Alto
30,¿Qué distancia hay de la Tierra a la Luna?,384.400 km,390.725 km,"Distancia a la Tierra, 384.400 km",Medio
31,¿Quién fue el primero que descubrió el anillo de Saturno?,Galileo,Aristóteles,Y que lo vió y pensaba que era una Luna,Medio
32,¿De que están echos los anillos planetarios?,Esta compuesta de polvo y partículas pequeñas  ,De gas ,Un anillo planetario es un anillo de polvo y otras partículas pequeñas que gira alrededor de un planeta. Los más espectaculares y conocidos desde la época telescópica son los anillos de Saturno.,Fácil
33,¿Cuánto tarda la Luna en dar una vuelta sobre sí misma?,Tarda 28 días terrestres.,No gira.,"Sí gira, pero como siempre le vemos la misma cara, la gente piensa que no.",Fácil
34,¿De qué están compuestos principalmente los anillos de Neptuno?,Están compuestos principalmente de polvo.,Está compuestos por hidrocarburos. ,Compuestos principalmente de polvo cuya presencia fue confirmada en 1989 por la sonda espacial Voyager 2.,Medio
35,¿Cuál es la fase de la Luna en eclipse lunar?,Luna Llena.,Luna Nueva.,"Los eclipses lunares se producen siempre que la Luna esté en fase Llena y siempre que el Sol, la Tierra y la Luna estén alineados. Entonces la Luna se encuentra en la sombra producida por la Tierra, creando así el eclipse.",Fácil
36,¿Cuál es la superficie de Urano?,8.083.079.690 km².,5.693.592.096 km².,"Tiene una masa de 86,81E24 kg (14,54 Masa terrestre) y una superficie de 8.083.079.690 km².",Medio
37,¿Por qué es Sol se llama así?,"Porque su origen es del término latino sol, solis.",Porque se lo puso Torricelli.,"Algunas palabras del latín relacionadas con sol es solium, que quiere decir ""trono, sitial"" –quizá por eso, los romanos llamaban a nuestra estrella el carro o trono de Apolo, y los egipcios, el carro de Amón. La raíz se remonta al presánscrito sû, que significa “el que genera vida”.",Alto
38,¿Cuál es la característica que diferencia a Saturno de los demás planetas del Sistema Solar?,Los anillos que tiene en su órbita.,Su meteorología,Porque en su órbita están unos anillos que los diferencian de otros planetas,Medio
39,¿Cómo son los anillos de Neptuno?,Son anillos planetarios muy tenues y débiles.,Son campos magnéticos visibles.,Son un sistema de anillos planetarios muy tenues y débiles.,Alto
40,¿Cuál es la distancia entre Júpiter y el Sol?,750 millones de kilómetros.,850 millones de kilómetros,Su distancia del Sol es de 750 millones de kilómetros del Sol.,Alto
41,¿Cuántos satélites naturales tiene Saturno?,150 + 53 (menores).,150 + 20 (menores).,"Saturno tiene 150 satélites + 53 satélites menores, que son pequeños.",Alto
42,¿Por qué la Luna se llama así?,Porque se deriva de una palabra.,No se sabe.,"Procedía de la raíz indoeuropea leuk-, presente en el griego leukós, que significa blanco brillante.",Medio
43,¿Cuál es la distancia que hay entre Saturno y el Sol?,La distancia es el doble que la de Saturno.,La distancia es el triple que la de Saturno.,Su distancia al Sol es el doble que la de Saturno.,Medio
44,¿Cuántos satélites orbitan alrededor de Neptuno?, Un total de 13 satélites.,Un total de 5 satélites.,Hasta agosto de 2004 se habían descubierto un total de 13 satélites de Neptuno.,Alto
45,¿Qué es la Luna?,Un satélite,Una estrella,La Luna es el único satélite natural de la Tierra.,Fácil
46,¿Qué es la NASA?,La encargada de investigar el universo.,Una secta que estudia los animales ,"Administración Nacional de la Aeronáutica y del Espacio de los Estados Unidos , aquella que investiga el universo y hace estudios .",Medio
47,¿Por qué se le llama a los planetas así?,Procede del griego.,No se sabe porque.,"Procede del griego planetai, que significa “errante, vagabundo”. ",Medio
48,¿Cuál es la gran formación meteorológica que hay en Júpiter?,La Gran Mancha Roja.,La gran tormenta.,Es una pequeña tipo de tormenta ,Alto
49,¿Cuál es la estrella más grande del Sistema Solar?,El Sol,La Estrella Polar,La pregunta trata sobre la estrella más grande del sistema solar,Fácil
50,¿Cuándo se descubrieron los primeros 9 anillos de Saturno?,En 1977.,En 1890.,"En 1977 se descubrieron los 9 primeros anillos de Urano. En 1986, la visita de la nave Voyager permitió medir y fotografiar los anillos, y descubrir dos nuevos.",Medio
51,¿Qué planeta está antes que la Tierra? (Próximo al Sol),Venus.,Marte.,"Porque el orden de los planetas es: Mercurio, Venus, Tierra, Marte, Júpiter, Saturno, Urano y Neptuno.",Fácil
52,¿Cuál es el planeta del Sistema Solar que está más cerca del Sol?,Mercurio,Venus,Se dice que es el planeta del Sistema Solar más pequeño y próximo al Sol.,Medio
53,¿Qué gravedad hay en Neptuno?,11 m/ s2,"23,12 m/ s2",La fuerza de la gravedad de los demás planetas va a depender de su tamaño y su densidad. Peso = 8.16 x 11 = 89.76 kg ,Alto
54,¿Es Plutón un planeta?,No.,Si.,Ya no se considera planeta ya que es muy pequeño.,Fácil
55,¿Cuál es el Planeta más grande?,Júpiter,Saturno,Porque Júpiter tiene más dimensiones que Saturno,Fácil
56,¿Cuántos satélites tiene la Tierra?,Uno.,Ninguno.,"Uno, llamado La Luna.",Fácil
57,"¿Qué es el Sol, un satélite o una estrella?",Una estrella.,Un satélite.,Es la estrella más grande del sistema solar.,Fácil
58,¿Qué es el Sol?,el sol es una estrella, el sol es unmeteorito,"El Sol es una estrella. Es una enorme esfera de gas caliente que está brillando y girando. Aparece mucho más grande y más brillante que las otras estrellas porque nosotros estamos muy cerca de él. El Sol es el centro de nuestro sistema solar. Todos los planetas en nuestro sistema solar, incluyendo la Tierra, giran alrededor del Sol.
",Fácil
59,¿Cuántos satélites tiene Júpiter?,68.,72.,Los satélites de Júpiter descubiertos hasta ahora son 67.,Medio
60,¿Cuánto tiempo se tarda en llegar a Marte?,4 años ,25 meses,Según la NASA se tardaría en llegar a Marte 4 años.,Alto
61,¿Cuántos años tiene la Luna?,"4,527 mil millones de años.","3,983 mil billones de años.","Edad, 4,527 mil millones de años",Fácil
62,¿Qué hay entre Marte y Júpiter?,El cinturón de asteroides.,El cinturón de Orión.,"El cinturón de asteroides es una región del Sistema Solar comprendida aproximadamente entre las órbitas de Marte y Júpiter. Alberga multitud de objetos irregulares, denominados asteroides, y al planeta enano Ceres",Medio
63,¿Qué superficie tiene Neptuno?,7.618.272.763 km²,2.877.000.000 km,El tercero en cuanto a mayor tamaño.,Alto
64,¿Cómo se formó realmente la Luna?,Después de una colisión entre la Tierra y Theia.,Después de la explosión del Big Bang.,Nuestra Luna se formó después de una colisión entre la Tierra y otro planeta llamado Theia hace unos 4.500 millones de años,Medio
65,¿Qué distancia tiene Neptuno desde el Sol?, 4.498.000.000 km,2.877.000.000 km,"Como su órbita es elíptica, su distancia desde el Sol cambia dependiendo de dónde esté en su órbita.",Alto
66,¿Quién fue la primera persona en pisar la Luna?,Neil Armstrong,Cristobal Colón,Neil Armstrong pisó la Luna el día 20 de Julio de 1969.,Fácil
67,¿ En qué año el hombre pisó la Luna por primera vez?,En el año 1969.,En el año 1988.,Neil Armstrong pisó la Luna el 20 de Julio de 1969.,Alto
68,¿Cuál es el planeta más cercano a La Tierra?,El planeta más cercano a La Tierra es Venus.,El planeta más cercano a La Tierra es Marte.,"Cuando Venus llega a su punto más cercano, está a unos 38 millones de kilómetros de la Tierra, mientras que si tenemos en cuenta el otro planeta más cercano, Marte, la distancia mas próxima es de 55 millones de kilómetros de distancia la cual tuvo lugar en el año 2003.",Medio
69,¿Dejará el Sol de brillar?,Si,No,"Sí, pero no por un muy, muy largo tiempo. Las estrellas brillan porque una gran cantidad de energía es creada en sus centros por un proceso llamado fusión nuclear. La fusión nuclear sucede cuando los elementos ligeros, como el hidrógeno, son combinados en elementos pesados, como el helio. En aproximadamente 5 billones de años, el hidrógeno en el centro del Sol se acabará y el Sol ya no tendrá suficiente combustible para la fusión nuclear. Así que en 5 billones de años, el Sol dejará de brillar.",Medio
70,¿Cuantos planetas hay en el sistema solar? ,8,9,Plutón no esta calificado como  un planeta dentro nuestro Sistema Solar ,Fácil
71,¿De qué forma parte Júpiter?,De los denominados planetas exteriores o gaseosos.,Principalmente por hidrógeno y helio.,"Júpiter es un cuerpo masivo gaseoso, formado principalmente por hidrógeno y helio, carente de una superficie interior definida.",Alto
72,¿A qué distancia se encuentra La Tierra del Sol?,La distancia exacta es de 149.600.000 km.,La distancia exacta es de 100.000.000 km.,"El Sol es una estrella del tipo espectral G2 que se encuentra en el centro del sistema solar y constituye la mayor fuente de radiación electromagnética de este sistema planetario.
La Tierra se encuentra a una distancia de 149.600.000 km del Sol.",Alto
73,¿Qué es un año luz?,Es la distancia que recorre la luz en un año.,Es un año con mucha luz.,Un año luz es la distancia que recorre la luz en un año. Esta unidad de medida se usa para medir objetos muy lejanos debido a que la luz viaja a 315.400 kilómetros por segundo.,Fácil
74,¿Qué temperatura tiene la superficie de Mercurio?,700 grados Kelvin.,78 grados Kelvin.,"Mercurio es el planeta más cercano al Sol, por lo que su temperatura es extremadamente elevada. La distancia entre el planeta y el Sol es 57.910.000 km.",Alto
75,"¿En que punto, La Tierra está más cercana al sol?",Perihelio.,Afelio.,"La Tierra gira alrededor del Sol, describiendo una órbita elíptica, a una velocidad media de 29,8 km/s (siendo máxima en el perihelio 30,75 km/s y mínima en el afelio 28,76 km/s)",Alto
76,¿A cuanta distancia esta Marte de la Tierra?,225.300.000 km,300.000 km,"Mediante ha pasado el tiempo se han enviado cohetes a marte los cuales miden la distancia que hay entre Marte y la Tierra.
",Medio
77,¿Qué tan largo es un día en Marte?,24.62 h.,23.934 h.,"Un día de un planeta es el tiempo que le toma al planeta en rotar o girar una vez sobre su propio eje. Marte rota casi a la misma velocidad que la Tierra, así que un día en Marte es casi tan largo como un día en la Tierra.",Alto
78,¿Cuántos Satélites Naturales tiene la Tierra?,1 satélite,5000 satélites,El Satélite Natural de la Tierra es La Luna y es el quinto satélite mas grande de nuestro Sistema Solar.,Fácil
79,"¿Cual es el satélite mas grande del Sistema Solar, y a que planeta pertenece?",Planeta Júpiter y satélite Ganímedes.,Planeta La Tierra y satélite La Luna.,"El satélite mas grande del sistema solar pertenece en efecto, al planeta mas grande de nuestro sistema, Júpiter, dicho satélite posee  5262 km de diámetro, en cambio La Luna, pese a estar considerada uno de los satélites más grandes en relación a el planeta que orbita, posee solo 3474 km de diámetro.",Medio
80,¿Quién fue el primer hombre en pisar La Luna?,Neil Armstrong.,Vladimir Vasilov.,"El primer hombre en pisar La Luna fue Neil Armstrong, fue el 21 de julio de 1969. Iba a bordo del Apolo 11.",Fácil
81,¿En qué constelación se encuentra la estrella Antares?,En la constelación de Escorpio.,En la constelación de Andrómeda.,"Antares es la estrella más brillante de la constelación de Escorpio y recibe su nombre del Griego Anti Ares (Άντάρης) y significa ""el rival de Ares"" o ""el opuesto a Ares"".",Alto
82,¿Cuál es el número de estrellas visibles desde la Tierra?,Se han calculado un total de 8.000 estrellas.,Se han calculado un total de 3.000 estrellas.,"Se ha realizado un cálculo, de que desde la Tierra, hay unas 8.000 estrellas visibles, de las cuáles, 4.000 están en el hemisferio norte del cielo y 4.000 en el hemisferio sur. Por la noche, sólo son visibles 2.000 estrellas de cada hemisferio.",Alto
83,¿De que está compuesto Neptuno?,De gases.,De hielo y roca.,Neptuno es el octavo planeta en distancia al Sol y es denominado como uno de los Gigantes Gaseosos. ,Medio
84,¿Es La Luna el único cuerpo celeste en el que el ser humano ha realizado un descenso tripulado?,Sí.,No.,"El programa Apolo de Estado Unidos consiguió realizar un descenso tripulado en La Luna, aunque la Unión Soviética también ha realizado dichos descensos pero sin tripulación a bordo.",Fácil
85,¿En que año la unión Soviética lanza el primer satélite llamado Sputnik 1 al espacio?,El 4 de octubre de 1957.,El 31 de Diciembre de 2000.,El Sputnik 1 fue el primero de una serie de cuatro satélites que formaron parte del programa Sputnik de la antigua Unión Soviética y se planeó como una contribución al Año Geofísico Internacional.,Medio
86,"¿El Sol gira alrededor de la Tierra, o La Tierra gira alrededor del Sol?",La Tierra gira alrededor del Sol,El Sol gira alrededor de la Tierra,La Tierra gira alrededor del Sol a causa de la fuerza gravitacional del Sol.,Fácil
87,¿De qué está compuesto el núcleo del sol?,Por gas denso y caliente en estado de plasma.,Diferentes metales en forma de aleación caliente.,"El sol se encuentra constituido en gran parte por hidrógeno y helio, además de otros elementos mínimos como el carbono, nitrógeno y oxígeno.",Medio
88,¿Cual es el planeta mas frió del  Sistema Solar? ,Plutón,Mercúrio,Gracias a la distancia a la que esta Plutón del sol sus temperaturas llegan a los -234 grados centigrados. En cambio Mercúrio al ser el planeta más cercano tiene una temperatura de 465 grados centigrados.,Medio
89,¿Se encuentra Mercurio a mas de 60 millones de Kilómetros del sol ? ,Falso,Verdadero ,Mercurio se encuentra respecto al Sol a  57.910.000 km.,Medio
90,¿Cuál es la función de los satélites de reconocimiento?,Registrar el movimiento de personas.,Observación del medio ambiente y la meteorología.,"Los satélites de reconocimiento(denominados satélites espía), son utilizados por el cuerpo militar o cuerpos de inteligencia para la observación de personas y comunicación.",Fácil
91,¿Cuantas constelaciones  hay en la via lactea ?,Son 88 constelaciones.,Son muchas más de 100.,"Son 88 y su nombre hace referencia al dibujo que describen, 48 han llegado a nosotros desde la antigüedad por griegos y árabes el resto en la era moderna.",Medio
92,¿Que ser vivo fue el primero en viajar al espacio en el satélite Sputnik 2?,Una perra llamada Laika.,Un humano llamado Gagarin.,"El segundo  satélite es el  Sputnik 2 que fue lanzado  por la Unión Soviética que llevaba a una perrita llamada Laika.
El primer ser humano en viajar al espacio fue Gagarin y lo hizo a bordo de la nave Vostok 1.",Medio
93,¿ A qué constelacion pertenece nuestro sistema solar?,A ninguna el Sol es una estrella.,A la constelacion solar,El sol es una estrella y esta  dentro de  un sistema llamado solar.,Medio
94,¿En qué año fue el lanzamiento de la Voyager 1?,En 1977.,En 1999.,La Voyager 1 fue lanzada en 1977.,Medio
95,¿Cuánto tiempo se tarda en llegar al espacio un cohete?,8 minutos.,1 hora,Un cohete va a una velocidad de 40320 km/h lo que lleva a la conclusión de que se tarda 8 minutos.,Medio
96,¿En qué año se lanzó el módulo de Comando/Servicio Apolo 15?,1971,1981,"Se lanzó el 2 de agosto de 1971, su autor fue la NASA.
Información sacada de Wikipedia.",Alto
97,¿Cuál es el segundo gas más abundante del universo?,El Helio.,El Nitrógeno.,"Es el Helio ya que su composición es de 275.200 en fracción de masa en partes por millón, que el Nitrógeno que solo consta de 1.105.
Claramente el Orden de podio en este apartado sería Hidrógeno, Helio y Oxígeno.",Medio
98,¿Cuál fue la primera sonda espacial?,Lunik 2,Ranger 3 ,La primera sonda espacial fue la Lunik 2. ,Medio
99,¿Cuál fue la primera mujer en ir al espacio?,Valentina Terescova,Michelle Obama,La presidenta de Estados Unidos nunca ha ido al espacio.,Fácil
100,¿Como podemos orientarnos por las estrellas? ,Por la estrella Polar,por la Osa Mayor,"En el hemisferio Norte podemos orientarnos por la Estrella Polar, que es una de las que forman la constelacion llamada Osa Mayor; es muy brillante y siempre señala el Norte. Si la miramos, estamos mirando al Norte.",Medio
101,¿Cual fue el primer satélite puesto en órbita?,El Sputnik 1 el 4 de octubre de 1957., cualquier otro satélite enviado por EEUU.,"Cuando la esfera de aluminio dio la vuelta a la Tierra, los estadounidenses quedaron aturdidos: un país que, según ellos, era tecnológicamente inferior, los había superado.

En noviembre aumentó su consternación cuando los soviéticos pusieron en órbita el Sputnik II con la perra Laika a bordo.

Sus temores por el Sputnik tenían dos vertientes: el sorprendente logro de los soviéticos les daba ventaja en la guerra propagandística",Fácil
102,¿Cuál fue la primera mujer en pisar la Luna?,Ninguna.,Oprah Winfrey.,A día de hoy todavía no existe ninguna mujer que haya pisado la Luna.,Medio
103,¿Cuando fue el  primer vuelo del hombre al espacio?,El 12 de abril de 1961 ,El 11 de abril de 1961,"El 12 de abril de 1961 el primer teniente de la Fuerza Aérea de la URSS, Yuri Alexéyevich Gagarin, realizó en la nave Vostok el primer vuelo tripulado al espacio en la historia",Medio
104,¿Es lo mismo Astronave que Nave espacial?,Si,No,"Si, porque es un sinónimo.",Fácil
105,¿Cuál es la estrella más grande conocida hasta la actualidad? ,Westerlund 1-26,El Sol,"El Sol es la estrella más cercana a nuestro Sistema Solar, pero no es nada comparado con el tamaño de estrellas como la hipergigante roja Westerlund 1-26, la UY Scuti o la VY Canis Majoris. Fuente: https://es.wikipedia.org/wiki/Anexo:Estrellas_m%C3%A1s_grandes_conocidas",Alto
106,¿Las naves espaciales solo pueden ser tripuladas?,No,Si,"No, ya que las naves espaciales pueden estar dirigidas desde la Tierra sin tripulante humano alguno.",Fácil
107,¿Cual fue la primera maquina que llegó a la luna?,Apollo Guiding Computer,Apolo Giuding Paradise ,"El computador responsable de las misiones Apolo fue el Apollo Guiding Computer (AGC), diseñado por el MIT Instrumentation Laboratory y fabricado por Raytheon, y uno de los primeros computadores en usar circuitos integrados - considerado el primer ""sistema embebido"".",Medio
108,¿Por qué la Luna tiene tantos cráteres?,Por la caída de meteoritos sobre la capa Lunar.,Debido a explosiones que ocurren de vez en cuando,"La Luna, al no tener atmósfera, recibe una gran cantidad de impactos de pequeños cuerpos que, si se producen en la zona no iluminada de la cara visible, podemos detectar desde la Tierra.",Fácil
109,¿Cuál es el Nombre del planeta más parecido a la Tierra descubierto hasta el momento?,Kepler-452b,MOA-2011-BLG-322,"El planeta más parecido a la Tierra descubierto hasta la fecha por la NASA es el Kepler-452b, esta información se ha sacado de la pagina bbc.com",Alto
110,¿Cómo se llama el primer animal y ser vivo en ir al espacio?,Laika,Dolly,"La perra Laika fue el primer ser vivo terrestre en orbitar la Tierra. Por desgracia, murió en orbita, pero su hazaña nunca será olvidada. 

Fuente: https://es.wikipedia.org/wiki/Laika",Medio
111,¿Cuán grande es el sistema solar?,10 mil millones de millas aproximadamente,10.000 kilometros/hora aproximadamente,"El objeto más lejano que se conoce orbitando nuestro Sol es una diminuta bola de hielo y roca llamada extraoficialmente Sedna, que ahora se encuentra a unos 10 mil millones de millas de distancia",Alto
112,¿Cuántos satélites tiene Júpiter?,67,32,"Hasta la fecha Júpiter tiene descubiertos 67 satélites, información sacada de Wikipedia.org",Alto
113,¿Qué es el sol?,Una estrella.,Un planeta.,"Es una estrella, es una enorme esfera de gas caliente que brilla y gira.",Medio
114,¿Cuántas veces es más grande el sol que la tierra?,1.300.000 veces,1000 veces.,El sol es una estrella 1.300.000 veces mayor que la tierra. Aunque menos densa que la tierra.,Medio
115,¿Cómo brilla el sol?,Quemando hidrógeno.,Aún no se sabe.,El Sol brilla quemando hidrógeno y convirtiéndolo en helio en su centro,Medio
116,¿Por cuánto tiempo ha estado brillando el Sol?,"4,6 billones de años.",1.000 millones de años.,"Se estima que el sol ha estado brillando 4,6 billones de años, y estará otros 5 billones de años más.",Medio
117,¿Cuál es la temperatura del sol?,"5,600 grados Centigrados.",No se sabe.,La temperatura en la superficie es alrededor de 5.600 grados Centigrados.,Medio
118,¿Qué distancia hay de la tierra al sol?,150 millones de kilometros,36.252 kilometros.,Está a 150 millones de km. La luz del sol tarda unos 8 minutos en llegar a la tierra.,Medio
119,¿El sol gira sobre si mismo?,"Si, gira o rota.","No, es falso no gira.",El Sol a pesar de ser una esfera de gas gira sobre si mismo.,Medio
120,"¿El sol, al ser una esfera de gas, gira más rápido en el ecuador que en los polos?","Si, gira o rota más rápido en el ecuador.","No, es falso no gira.","El Sol al no ser un cuerpo sólido no gira uniformente, gira más rápido en el ecuador.",Medio
121,¿Las manchas solares son siempre las mismas?,"No, cambian con el tiempo.","Si, siempre son iguales.","Algunas duran unas pocas horas,y otras duran semanas.",Medio
122,¿Mercurio es el planeta más cercano al sol?,"Si, es el más cercano.","No, es Venus.","Mercurio es el más cercano, la distancia más cerca a la que llega a estar es de 46 millones de kilómetros.",Medio
123,¿Cuánto dura un día en Mercurio?,58 días terrestres.,22 días terrestres.,Mercurio gira muy lentamente y necesita 58 días terrestres para dar un giro sobre si mismo.,Medio
124,¿La fecha que aterrizó el primer objeto de origen humano sobre la superficie de Marte?,Fue el 27 de noviembre de 1971.,Fue el 27 de noviembre de 1979.,"La sonda Mars 2 (también llamada Marsnik 2 o Marte 2) fabricada por la URSS, tomó tierra el 27 de noviembre de 1971.",Medio
125,¿Cuál fue el primer satelite artificial de la historia?,"El Sputnik, de la URSS.","El Apolo, de EEUU.",El Sputnik 1 lanzado el 4 de octubre de 1957 por la Unión Soviética fue el primer satélite artificial de la historia.,Medio
126,¿Cuál fue el primer satelite artificial Americano?,El Explorer.,El Challenger.,Fue lanzado a las 22:48 horas del 31 de enero de 1958.,Medio
